TrustAdvertisers,TrustTechCompany,TrustPolice,Education,Race
Not too much/No,Yes/Somewhat,Yes/Somewhat,College,White
Not too much/No,Not too much/No,Not too much/No,No College,White
Not too much/No,Not too much/No,Not too much/No,No College,Black
Yes/Somewhat,Yes/Somewhat,Yes/Somewhat,College,White
Not too much/No,Yes/Somewhat,Yes/Somewhat,No College,White
Not too much/No,Not too much/No,Yes/Somewhat,College,White
Not too much/No,Not too much/No,Yes/Somewhat,No College,White
Yes/Somewhat,Yes/Somewhat,Yes/Somewhat,No College,White
Not too much/No,Not too much/No,Yes/Somewhat,College,White
Not too much/No,Not too much/No,Not too much/No,No College,White
Not too much/No,Not too much/No,Yes/Somewhat,No College,White
Not too much/No,Yes/Somewhat,Yes/Somewhat,College,Black
Not too much/No,Not too much/No,Yes/Somewhat,No College,White
Not too much/No,Not too much/No,Yes/Somewhat,College,White
Yes/Somewhat,Yes/Somewhat,Yes/Somewhat,No College,White
Not too much/No,Not too much/No,Yes/Somewhat,No College,White
Not too much/No,Not too much/No,Yes/Somewhat,No College,White
Not too much/No,Not too much/No,Not too much/No,College,White
Not too much/No,Yes/Somewhat,Yes/Somewhat,No College,White
Yes/Somewhat,Yes/Somewhat,Not too much/No,No College,White
Not too much/No,Not too much/No,Yes/Somewhat,No College,White
Not too much/No,Not too much/No,Yes/Somewhat,No College,White
Not too much/No,Not too much/No,Not too much/No,No College,Black
Not too much/No,Not too much/No,Yes/Somewhat,No College,White
Yes/Somewhat,Yes/Somewhat,Yes/Somewhat,No College,White
Yes/Somewhat,Yes/Somewhat,Yes/Somewhat,No College,White
Not too much/No,Not too much/No,Not too much/No,No College,White
Not too much/No,Yes/Somewhat,Yes/Somewhat,No College,White
Not too much/No,Yes/Somewhat,Yes/Somewhat,No College,Black
Yes/Somewhat,Yes/Somewhat,Yes/Somewhat,College,White
Yes/Somewhat,Yes/Somewhat,Yes/Somewhat,No College,White
Yes/Somewhat,Yes/Somewhat,Yes/Somewhat,No College,White
Not too much/No,Not too much/No,Not too much/No,College,Black
Not too much/No,Yes/Somewhat,Not too much/No,No College,Black
Yes/Somewhat,Yes/Somewhat,Yes/Somewhat,No College,Black
Not too much/No,Not too much/No,Yes/Somewhat,College,White
Not too much/No,Not too much/No,Yes/Somewhat,College,White
Not too much/No,Yes/Somewhat,Yes/Somewhat,No College,White
Not too much/No,Not too much/No,Not too much/No,No College,Black
Yes/Somewhat,Yes/Somewhat,Yes/Somewhat,No College,White
Not too much/No,Not too much/No,Yes/Somewhat,College,White
Not too much/No,Not too much/No,Not too much/No,College,White
Yes/Somewhat,Yes/Somewhat,Yes/Somewhat,No College,White
Not too much/No,Not too much/No,Not too much/No,College,White
Not too much/No,Yes/Somewhat,Yes/Somewhat,College,White
Not too much/No,Not too much/No,Yes/Somewhat,No College,White
Not too much/No,Yes/Somewhat,Yes/Somewhat,No College,White
Not too much/No,Not too much/No,Yes/Somewhat,No College,White
Not too much/No,Yes/Somewhat,Not too much/No,College,White
Not too much/No,Yes/Somewhat,Yes/Somewhat,No College,Black
Not too much/No,Not too much/No,Yes/Somewhat,No College,White
Not too much/No,Not too much/No,Yes/Somewhat,College,White
Not too much/No,Yes/Somewhat,Yes/Somewhat,No College,White
Yes/Somewhat,Yes/Somewhat,Yes/Somewhat,No College,White
Not too much/No,Not too much/No,Not too much/No,College,White
Not too much/No,Not too much/No,Not too much/No,No College,White
Yes/Somewhat,Yes/Somewhat,Yes/Somewhat,No College,White
Yes/Somewhat,Not too much/No,Yes/Somewhat,No College,White
Not too much/No,Not too much/No,Yes/Somewhat,No College,White
Not too much/No,Not too much/No,Not too much/No,No College,White
Not too much/No,Not too much/No,Yes/Somewhat,College,White
Not too much/No,Yes/Somewhat,Yes/Somewhat,No College,White
Not too much/No,Not too much/No,Not too much/No,No College,White
Not too much/No,Yes/Somewhat,Yes/Somewhat,No College,White
Not too much/No,Not too much/No,Not too much/No,No College,Black
Not too much/No,Not too much/No,Yes/Somewhat,No College,White
Not too much/No,Not too much/No,Yes/Somewhat,College,White
Not too much/No,Yes/Somewhat,Not too much/No,No College,White
Yes/Somewhat,Yes/Somewhat,Yes/Somewhat,No College,White
Not too much/No,Not too much/No,Yes/Somewhat,No College,White
Not too much/No,Not too much/No,Not too much/No,No College,White
Yes/Somewhat,Yes/Somewhat,Yes/Somewhat,No College,White
Not too much/No,Not too much/No,Yes/Somewhat,College,White
Not too much/No,Not too much/No,Yes/Somewhat,College,White
Yes/Somewhat,Yes/Somewhat,Yes/Somewhat,No College,White
Not too much/No,Not too much/No,Not too much/No,College,Black
Not too much/No,Not too much/No,Yes/Somewhat,College,White
Not too much/No,Not too much/No,Not too much/No,No College,White
Not too much/No,Not too much/No,Not too much/No,No College,Black
Not too much/No,Not too much/No,Yes/Somewhat,College,White
Not too much/No,Yes/Somewhat,Not too much/No,No College,White
Not too much/No,Not too much/No,Yes/Somewhat,College,White
Not too much/No,Not too much/No,Not too much/No,No College,White
Not too much/No,Not too much/No,Not too much/No,No College,White
Yes/Somewhat,Yes/Somewhat,Yes/Somewhat,No College,White
Not too much/No,Yes/Somewhat,Yes/Somewhat,No College,White
Not too much/No,Not too much/No,Yes/Somewhat,College,White
Yes/Somewhat,Yes/Somewhat,Yes/Somewhat,No College,Black
Yes/Somewhat,Yes/Somewhat,Yes/Somewhat,No College,White
Not too much/No,Yes/Somewhat,Yes/Somewhat,No College,White
Not too much/No,Not too much/No,Yes/Somewhat,College,White
Not too much/No,Not too much/No,Not too much/No,College,White
Not too much/No,Not too much/No,Not too much/No,College,White
Not too much/No,Not too much/No,Yes/Somewhat,College,White
Yes/Somewhat,Yes/Somewhat,Yes/Somewhat,College,Black
Not too much/No,Yes/Somewhat,Yes/Somewhat,College,White
Yes/Somewhat,Yes/Somewhat,Yes/Somewhat,No College,Black
Not too much/No,Yes/Somewhat,Yes/Somewhat,College,Black
Not too much/No,Not too much/No,Not too much/No,No College,White
Yes/Somewhat,Yes/Somewhat,Yes/Somewhat,No College,White
Not too much/No,Not too much/No,Yes/Somewhat,No College,White
Yes/Somewhat,Yes/Somewhat,Yes/Somewhat,No College,White
Yes/Somewhat,Yes/Somewhat,Yes/Somewhat,No College,White
Not too much/No,Yes/Somewhat,Yes/Somewhat,College,White
Not too much/No,Not too much/No,Not too much/No,No College,White
Yes/Somewhat,Yes/Somewhat,Yes/Somewhat,No College,Black
Not too much/No,Not too much/No,Not too much/No,College,White
Yes/Somewhat,Yes/Somewhat,Yes/Somewhat,No College,White
Not too much/No,Not too much/No,Not too much/No,No College,White
Not too much/No,Not too much/No,Not too much/No,No College,Black
Not too much/No,Yes/Somewhat,Yes/Somewhat,No College,White
Not too much/No,Not too much/No,Not too much/No,No College,White
Not too much/No,Yes/Somewhat,Not too much/No,No College,White
Not too much/No,Not too much/No,Not too much/No,No College,Black
Not too much/No,Not too much/No,Not too much/No,College,White
Not too much/No,Yes/Somewhat,Yes/Somewhat,College,Black
Not too much/No,Not too much/No,Yes/Somewhat,College,White
Yes/Somewhat,Yes/Somewhat,Yes/Somewhat,No College,White
Not too much/No,Not too much/No,Yes/Somewhat,No College,White
Not too much/No,Not too much/No,Yes/Somewhat,College,White
Yes/Somewhat,Yes/Somewhat,Yes/Somewhat,No College,White
Not too much/No,Yes/Somewhat,Yes/Somewhat,College,White
Not too much/No,Not too much/No,Not too much/No,College,White
Not too much/No,Not too much/No,Not too much/No,No College,White
Not too much/No,Not too much/No,Not too much/No,College,White
Not too much/No,Yes/Somewhat,Yes/Somewhat,College,White
Not too much/No,Not too much/No,Not too much/No,No College,White
Not too much/No,Not too much/No,Not too much/No,No College,White
Yes/Somewhat,Yes/Somewhat,Yes/Somewhat,No College,White
Not too much/No,Not too much/No,Yes/Somewhat,College,White
Not too much/No,Yes/Somewhat,Yes/Somewhat,College,White
Yes/Somewhat,Yes/Somewhat,Yes/Somewhat,College,White
Not too much/No,Not too much/No,Not too much/No,No College,White
Not too much/No,Yes/Somewhat,Yes/Somewhat,College,White
Not too much/No,Not too much/No,Not too much/No,No College,White
Yes/Somewhat,Yes/Somewhat,Not too much/No,No College,White
Yes/Somewhat,Yes/Somewhat,Yes/Somewhat,No College,White
Yes/Somewhat,Not too much/No,Yes/Somewhat,No College,White
Not too much/No,Yes/Somewhat,Not too much/No,No College,Black
Not too much/No,Yes/Somewhat,Yes/Somewhat,College,White
Not too much/No,Not too much/No,Not too much/No,No College,White
Not too much/No,Not too much/No,Not too much/No,No College,White
Not too much/No,Yes/Somewhat,Yes/Somewhat,No College,White
Not too much/No,Not too much/No,Not too much/No,College,White
Yes/Somewhat,Yes/Somewhat,Yes/Somewhat,No College,White
Yes/Somewhat,Yes/Somewhat,Yes/Somewhat,No College,White
Not too much/No,Not too much/No,Yes/Somewhat,College,White
Not too much/No,Yes/Somewhat,Yes/Somewhat,College,White
Not too much/No,Not too much/No,Yes/Somewhat,No College,White
Not too much/No,Not too much/No,Not too much/No,No College,White
Yes/Somewhat,Yes/Somewhat,Yes/Somewhat,No College,White
Not too much/No,Not too much/No,Yes/Somewhat,No College,White
Not too much/No,Yes/Somewhat,Yes/Somewhat,College,White
Not too much/No,Not too much/No,Yes/Somewhat,No College,White
Not too much/No,Not too much/No,Not too much/No,College,White
Not too much/No,Not too much/No,Yes/Somewhat,College,White
Not too much/No,Not too much/No,Not too much/No,College,White
Not too much/No,Not too much/No,Not too much/No,No College,White
Not too much/No,Not too much/No,Not too much/No,College,Black
Not too much/No,Yes/Somewhat,Yes/Somewhat,College,White
Not too much/No,Not too much/No,Yes/Somewhat,College,White
Not too much/No,Not too much/No,Not too much/No,No College,White
Not too much/No,Not too much/No,Not too much/No,College,White
Not too much/No,Yes/Somewhat,Yes/Somewhat,No College,White
Not too much/No,Not too much/No,Not too much/No,No College,Black
Not too much/No,Not too much/No,Yes/Somewhat,No College,White
Not too much/No,Not too much/No,Yes/Somewhat,No College,White
Not too much/No,Not too much/No,Not too much/No,College,White
Not too much/No,Not too much/No,Not too much/No,College,White
Not too much/No,Yes/Somewhat,Yes/Somewhat,College,White
Not too much/No,Yes/Somewhat,Yes/Somewhat,College,White
Not too much/No,Yes/Somewhat,Not too much/No,College,White
Not too much/No,Not too much/No,Not too much/No,College,White
Not too much/No,Not too much/No,Not too much/No,College,White
Not too much/No,Not too much/No,Yes/Somewhat,College,White
Not too much/No,Not too much/No,Not too much/No,No College,White
Not too much/No,Not too much/No,Yes/Somewhat,College,White
Not too much/No,Not too much/No,Yes/Somewhat,College,White
Not too much/No,Yes/Somewhat,Yes/Somewhat,No College,Black
Not too much/No,Yes/Somewhat,Yes/Somewhat,No College,White
Yes/Somewhat,Yes/Somewhat,Yes/Somewhat,No College,White
Not too much/No,Yes/Somewhat,Yes/Somewhat,No College,White
Not too much/No,Not too much/No,Yes/Somewhat,College,White
Not too much/No,Yes/Somewhat,Yes/Somewhat,No College,White
Not too much/No,Not too much/No,Not too much/No,No College,White
Yes/Somewhat,Yes/Somewhat,Yes/Somewhat,No College,White
Not too much/No,Not too much/No,Yes/Somewhat,No College,White
Yes/Somewhat,Yes/Somewhat,Yes/Somewhat,College,White
Not too much/No,Not too much/No,Not too much/No,College,White
Not too much/No,Yes/Somewhat,Yes/Somewhat,College,White
Not too much/No,Yes/Somewhat,Not too much/No,No College,White
Not too much/No,Not too much/No,Not too much/No,College,Black
Not too much/No,Not too much/No,Not too much/No,College,Black
Not too much/No,Not too much/No,Not too much/No,No College,White
Not too much/No,Not too much/No,Not too much/No,No College,White
Not too much/No,Not too much/No,Yes/Somewhat,College,White
Yes/Somewhat,Yes/Somewhat,Yes/Somewhat,College,White
Not too much/No,Not too much/No,Not too much/No,College,White
Yes/Somewhat,Yes/Somewhat,Yes/Somewhat,College,White
Not too much/No,Not too much/No,Not too much/No,No College,White
Yes/Somewhat,Yes/Somewhat,Yes/Somewhat,No College,Black
Not too much/No,Not too much/No,Not too much/No,No College,White
Not too much/No,Not too much/No,Yes/Somewhat,College,White
Not too much/No,Yes/Somewhat,Yes/Somewhat,College,White
Not too much/No,Not too much/No,Not too much/No,No College,White
Not too much/No,Yes/Somewhat,Yes/Somewhat,College,White
Not too much/No,Not too much/No,Yes/Somewhat,No College,White
Not too much/No,Not too much/No,Yes/Somewhat,College,White
Yes/Somewhat,Yes/Somewhat,Yes/Somewhat,College,White
Yes/Somewhat,Not too much/No,Not too much/No,No College,Black
Not too much/No,Not too much/No,Not too much/No,College,White
Not too much/No,Yes/Somewhat,Yes/Somewhat,No College,White
Not too much/No,Not too much/No,Not too much/No,No College,White
Not too much/No,Not too much/No,Not too much/No,College,White
Not too much/No,Not too much/No,Not too much/No,No College,White
Not too much/No,Not too much/No,Not too much/No,College,Black
Not too much/No,Not too much/No,Yes/Somewhat,No College,White
Not too much/No,Not too much/No,Not too much/No,College,White
Yes/Somewhat,Yes/Somewhat,Yes/Somewhat,No College,White
Not too much/No,Not too much/No,Not too much/No,No College,White
Not too much/No,Not too much/No,Yes/Somewhat,No College,White
Not too much/No,Not too much/No,Yes/Somewhat,No College,White
Yes/Somewhat,Yes/Somewhat,Yes/Somewhat,No College,White
Not too much/No,Not too much/No,Yes/Somewhat,No College,White
Not too much/No,Not too much/No,Yes/Somewhat,No College,White
Not too much/No,Not too much/No,Not too much/No,College,White
Yes/Somewhat,Yes/Somewhat,Yes/Somewhat,No College,White
Not too much/No,Not too much/No,Not too much/No,College,White
Yes/Somewhat,Yes/Somewhat,Yes/Somewhat,No College,White
Not too much/No,Yes/Somewhat,Yes/Somewhat,No College,White
Not too much/No,Yes/Somewhat,Yes/Somewhat,No College,White
Not too much/No,Not too much/No,Yes/Somewhat,No College,White
Yes/Somewhat,Yes/Somewhat,Yes/Somewhat,No College,White
Not too much/No,Yes/Somewhat,Not too much/No,No College,White
Not too much/No,Yes/Somewhat,Not too much/No,No College,White
Not too much/No,Not too much/No,Yes/Somewhat,College,White
Not too much/No,Not too much/No,Yes/Somewhat,No College,White
Yes/Somewhat,Not too much/No,Not too much/No,College,White
Not too much/No,Not too much/No,Not too much/No,No College,White
Not too much/No,Yes/Somewhat,Yes/Somewhat,No College,White
Not too much/No,Not too much/No,Not too much/No,College,White
Not too much/No,Not too much/No,Yes/Somewhat,College,White
Not too much/No,Not too much/No,Yes/Somewhat,No College,White
Not too much/No,Yes/Somewhat,Yes/Somewhat,No College,White
Not too much/No,Yes/Somewhat,Yes/Somewhat,No College,White
Not too much/No,Not too much/No,Yes/Somewhat,College,White
Not too much/No,Not too much/No,Yes/Somewhat,No College,White
Not too much/No,Not too much/No,Not too much/No,No College,White
Not too much/No,Not too much/No,Not too much/No,College,White
Not too much/No,Not too much/No,Not too much/No,No College,White
Not too much/No,Not too much/No,Not too much/No,No College,White
Not too much/No,Not too much/No,Yes/Somewhat,College,White
Not too much/No,Not too much/No,Not too much/No,College,White
Not too much/No,Yes/Somewhat,Yes/Somewhat,College,White
Not too much/No,Not too much/No,Not too much/No,College,White
Not too much/No,Not too much/No,Not too much/No,College,White
Not too much/No,Not too much/No,Yes/Somewhat,College,White
Not too much/No,Not too much/No,Not too much/No,No College,Black
Not too much/No,Yes/Somewhat,Yes/Somewhat,No College,White
Yes/Somewhat,Yes/Somewhat,Not too much/No,No College,White
Not too much/No,Not too much/No,Not too much/No,No College,White
Yes/Somewhat,Yes/Somewhat,Yes/Somewhat,No College,White
Not too much/No,Not too much/No,Yes/Somewhat,No College,White
Not too much/No,Yes/Somewhat,Not too much/No,College,White
Yes/Somewhat,Yes/Somewhat,Yes/Somewhat,No College,White
Not too much/No,Yes/Somewhat,Yes/Somewhat,No College,White
Not too much/No,Not too much/No,Not too much/No,No College,Black
Not too much/No,Not too much/No,Yes/Somewhat,No College,White
Yes/Somewhat,Yes/Somewhat,Not too much/No,No College,White
Not too much/No,Yes/Somewhat,Yes/Somewhat,No College,White
Not too much/No,Not too much/No,Yes/Somewhat,No College,White
Not too much/No,Yes/Somewhat,Yes/Somewhat,No College,White
Not too much/No,Not too much/No,Not too much/No,No College,White
Not too much/No,Not too much/No,Not too much/No,College,White
Not too much/No,Not too much/No,Yes/Somewhat,College,White
Not too much/No,Not too much/No,Yes/Somewhat,College,White
Not too much/No,Not too much/No,Not too much/No,College,White
Not too much/No,Yes/Somewhat,Yes/Somewhat,No College,White
Not too much/No,Not too much/No,Not too much/No,College,White
Yes/Somewhat,Yes/Somewhat,Yes/Somewhat,No College,White
Yes/Somewhat,Yes/Somewhat,Yes/Somewhat,College,White
Not too much/No,Yes/Somewhat,Yes/Somewhat,No College,White
Not too much/No,Not too much/No,Not too much/No,No College,White
Not too much/No,Not too much/No,Not too much/No,College,White
Yes/Somewhat,Yes/Somewhat,Yes/Somewhat,No College,Black
Not too much/No,Yes/Somewhat,Yes/Somewhat,College,White
Not too much/No,Not too much/No,Yes/Somewhat,College,White
Yes/Somewhat,Yes/Somewhat,Yes/Somewhat,No College,White
Not too much/No,Not too much/No,Yes/Somewhat,College,White
Not too much/No,Not too much/No,Not too much/No,College,White
Not too much/No,Yes/Somewhat,Not too much/No,College,White
Yes/Somewhat,Yes/Somewhat,Yes/Somewhat,College,White
Yes/Somewhat,Yes/Somewhat,Yes/Somewhat,College,White
Yes/Somewhat,Yes/Somewhat,Yes/Somewhat,No College,Black
Not too much/No,Not too much/No,Not too much/No,No College,White
Not too much/No,Not too much/No,Yes/Somewhat,College,White
Yes/Somewhat,Yes/Somewhat,Yes/Somewhat,No College,White
Not too much/No,Not too much/No,Yes/Somewhat,No College,White
Not too much/No,Not too much/No,Not too much/No,College,White
Not too much/No,Yes/Somewhat,Yes/Somewhat,College,White
Not too much/No,Not too much/No,Not too much/No,No College,White
Not too much/No,Not too much/No,Not too much/No,No College,Black
Not too much/No,Not too much/No,Not too much/No,College,White
Not too much/No,Yes/Somewhat,Not too much/No,College,White
Not too much/No,Not too much/No,Not too much/No,No College,White
Not too much/No,Not too much/No,Yes/Somewhat,No College,White
Yes/Somewhat,Yes/Somewhat,Yes/Somewhat,No College,White
Not too much/No,Not too much/No,Not too much/No,No College,White
Yes/Somewhat,Yes/Somewhat,Not too much/No,No College,White
Yes/Somewhat,Yes/Somewhat,Yes/Somewhat,No College,White
Yes/Somewhat,Yes/Somewhat,Yes/Somewhat,No College,White
Not too much/No,Not too much/No,Not too much/No,College,Black
Yes/Somewhat,Yes/Somewhat,Yes/Somewhat,No College,White
Not too much/No,Not too much/No,Yes/Somewhat,No College,White
Not too much/No,Not too much/No,Not too much/No,No College,Black
Yes/Somewhat,Not too much/No,Not too much/No,College,White
Not too much/No,Not too much/No,Yes/Somewhat,College,White
Not too much/No,Not too much/No,Not too much/No,College,White
Not too much/No,Not too much/No,Yes/Somewhat,No College,White
Not too much/No,Not too much/No,Yes/Somewhat,No College,White
Not too much/No,Yes/Somewhat,Not too much/No,No College,Black
Not too much/No,Not too much/No,Yes/Somewhat,College,White
Not too much/No,Not too much/No,Yes/Somewhat,College,White
Not too much/No,Not too much/No,Not too much/No,No College,White
Not too much/No,Yes/Somewhat,Yes/Somewhat,College,White
Not too much/No,Not too much/No,Yes/Somewhat,No College,White
Not too much/No,Yes/Somewhat,Yes/Somewhat,College,White
Not too much/No,Yes/Somewhat,Yes/Somewhat,No College,White
Not too much/No,Yes/Somewhat,Yes/Somewhat,No College,White
Not too much/No,Not too much/No,Yes/Somewhat,No College,White
Not too much/No,Yes/Somewhat,Yes/Somewhat,College,White
Yes/Somewhat,Yes/Somewhat,Yes/Somewhat,No College,Black
Not too much/No,Not too much/No,Not too much/No,College,White
Yes/Somewhat,Not too much/No,Yes/Somewhat,College,White
Not too much/No,Not too much/No,Not too much/No,College,White
Not too much/No,Not too much/No,Yes/Somewhat,No College,White
Not too much/No,Not too much/No,Not too much/No,College,White
Not too much/No,Yes/Somewhat,Yes/Somewhat,College,White
Not too much/No,Yes/Somewhat,Yes/Somewhat,No College,White
Not too much/No,Not too much/No,Yes/Somewhat,College,White
Not too much/No,Not too much/No,Yes/Somewhat,College,White
Not too much/No,Not too much/No,Not too much/No,No College,White
Not too much/No,Yes/Somewhat,Yes/Somewhat,No College,White
Not too much/No,Not too much/No,Yes/Somewhat,No College,White
Not too much/No,Not too much/No,Yes/Somewhat,College,White
Not too much/No,Not too much/No,Yes/Somewhat,No College,White
Not too much/No,Not too much/No,Yes/Somewhat,No College,White
Not too much/No,Not too much/No,Not too much/No,No College,White
Not too much/No,Not too much/No,Not too much/No,No College,Black
Not too much/No,Yes/Somewhat,Yes/Somewhat,No College,White
Yes/Somewhat,Yes/Somewhat,Yes/Somewhat,No College,White
Not too much/No,Not too much/No,Yes/Somewhat,College,White
Not too much/No,Not too much/No,Yes/Somewhat,No College,Black
Not too much/No,Not too much/No,Yes/Somewhat,No College,White
Not too much/No,Not too much/No,Yes/Somewhat,No College,Black
Not too much/No,Not too much/No,Not too much/No,College,White
Not too much/No,Yes/Somewhat,Yes/Somewhat,No College,White
Not too much/No,Not too much/No,Yes/Somewhat,No College,White
Not too much/No,Not too much/No,Yes/Somewhat,No College,White
Yes/Somewhat,Yes/Somewhat,Yes/Somewhat,No College,White
Not too much/No,Not too much/No,Yes/Somewhat,College,White
Not too much/No,Not too much/No,Yes/Somewhat,No College,White
Not too much/No,Not too much/No,Yes/Somewhat,No College,White
Not too much/No,Not too much/No,Not too much/No,No College,White
Yes/Somewhat,Yes/Somewhat,Yes/Somewhat,No College,White
Not too much/No,Yes/Somewhat,Yes/Somewhat,College,White
Not too much/No,Not too much/No,Yes/Somewhat,No College,White
Not too much/No,Not too much/No,Yes/Somewhat,No College,White
Not too much/No,Not too much/No,Not too much/No,No College,White
Not too much/No,Not too much/No,Not too much/No,College,White
Not too much/No,Not too much/No,Yes/Somewhat,No College,White
Not too much/No,Not too much/No,Not too much/No,No College,White
Not too much/No,Yes/Somewhat,Not too much/No,No College,White
Not too much/No,Not too much/No,Yes/Somewhat,College,White
Not too much/No,Not too much/No,Yes/Somewhat,No College,White
Not too much/No,Not too much/No,Yes/Somewhat,No College,White
Not too much/No,Not too much/No,Not too much/No,No College,White
Yes/Somewhat,Not too much/No,Yes/Somewhat,No College,Black
Yes/Somewhat,Yes/Somewhat,Not too much/No,No College,Black
Not too much/No,Not too much/No,Not too much/No,No College,White
Not too much/No,Not too much/No,Not too much/No,College,White
Not too much/No,Not too much/No,Yes/Somewhat,No College,White
Yes/Somewhat,Yes/Somewhat,Yes/Somewhat,No College,White
Not too much/No,Not too much/No,Not too much/No,No College,Black
Not too much/No,Not too much/No,Not too much/No,College,White
Not too much/No,Not too much/No,Not too much/No,College,White
Yes/Somewhat,Yes/Somewhat,Yes/Somewhat,College,Black
Not too much/No,Not too much/No,Yes/Somewhat,No College,White
Not too much/No,Yes/Somewhat,Yes/Somewhat,No College,White
Not too much/No,Not too much/No,Not too much/No,College,White
Not too much/No,Yes/Somewhat,Yes/Somewhat,No College,White
Not too much/No,Not too much/No,Not too much/No,No College,Black
Not too much/No,Not too much/No,Yes/Somewhat,No College,White
Not too much/No,Not too much/No,Yes/Somewhat,College,White
Not too much/No,Not too much/No,Yes/Somewhat,No College,White
Yes/Somewhat,Yes/Somewhat,Yes/Somewhat,No College,White
Not too much/No,Not too much/No,Not too much/No,No College,White
Yes/Somewhat,Yes/Somewhat,Yes/Somewhat,No College,White
Not too much/No,Yes/Somewhat,Yes/Somewhat,College,White
Yes/Somewhat,Yes/Somewhat,Not too much/No,No College,White
Not too much/No,Not too much/No,Yes/Somewhat,College,White
Not too much/No,Not too much/No,Not too much/No,College,White
Not too much/No,Not too much/No,Yes/Somewhat,No College,White
Not too much/No,Yes/Somewhat,Yes/Somewhat,No College,White
Not too much/No,Yes/Somewhat,Yes/Somewhat,No College,White
Not too much/No,Yes/Somewhat,Yes/Somewhat,No College,White
Not too much/No,Not too much/No,Not too much/No,College,Black
Yes/Somewhat,Yes/Somewhat,Yes/Somewhat,No College,White
Not too much/No,Not too much/No,Not too much/No,No College,White
Not too much/No,Not too much/No,Not too much/No,No College,White
Not too much/No,Not too much/No,Not too much/No,College,White
Not too much/No,Not too much/No,Not too much/No,College,White
Yes/Somewhat,Yes/Somewhat,Not too much/No,No College,Black
Yes/Somewhat,Not too much/No,Yes/Somewhat,No College,White
Not too much/No,Not too much/No,Yes/Somewhat,College,White
Not too much/No,Not too much/No,Not too much/No,No College,Black
Not too much/No,Not too much/No,Yes/Somewhat,College,White
Not too much/No,Yes/Somewhat,Not too much/No,No College,Black
Not too much/No,Not too much/No,Not too much/No,College,White
Not too much/No,Not too much/No,Yes/Somewhat,No College,White
Not too much/No,Not too much/No,Not too much/No,No College,Black
Yes/Somewhat,Yes/Somewhat,Yes/Somewhat,No College,White
Yes/Somewhat,Not too much/No,Yes/Somewhat,No College,Black
Not too much/No,Not too much/No,Not too much/No,College,White
Not too much/No,Not too much/No,Not too much/No,No College,Black
Yes/Somewhat,Yes/Somewhat,Yes/Somewhat,College,Black
Not too much/No,Not too much/No,Not too much/No,No College,White
Not too much/No,Not too much/No,Yes/Somewhat,College,White
Yes/Somewhat,Not too much/No,Yes/Somewhat,No College,Black
Not too much/No,Not too much/No,Yes/Somewhat,No College,White
Not too much/No,Not too much/No,Not too much/No,No College,White
Not too much/No,Yes/Somewhat,Yes/Somewhat,No College,White
Not too much/No,Not too much/No,Not too much/No,No College,White
Not too much/No,Yes/Somewhat,Yes/Somewhat,No College,Black
Not too much/No,Not too much/No,Not too much/No,No College,White
Yes/Somewhat,Yes/Somewhat,Yes/Somewhat,No College,Black
Not too much/No,Yes/Somewhat,Yes/Somewhat,College,White
Yes/Somewhat,Yes/Somewhat,Yes/Somewhat,No College,White
Yes/Somewhat,Yes/Somewhat,Yes/Somewhat,No College,Black
Yes/Somewhat,Yes/Somewhat,Not too much/No,No College,White
Not too much/No,Not too much/No,Yes/Somewhat,No College,White
Not too much/No,Not too much/No,Yes/Somewhat,College,White
Yes/Somewhat,Yes/Somewhat,Yes/Somewhat,No College,White
Not too much/No,Yes/Somewhat,Yes/Somewhat,No College,White
Not too much/No,Not too much/No,Yes/Somewhat,No College,White
Not too much/No,Not too much/No,Yes/Somewhat,College,White
Not too much/No,Not too much/No,Yes/Somewhat,College,White
Not too much/No,Yes/Somewhat,Yes/Somewhat,No College,White
Yes/Somewhat,Yes/Somewhat,Yes/Somewhat,No College,Black
Not too much/No,Not too much/No,Yes/Somewhat,No College,White
Not too much/No,Not too much/No,Not too much/No,No College,White
Yes/Somewhat,Yes/Somewhat,Yes/Somewhat,No College,White
Not too much/No,Not too much/No,Yes/Somewhat,No College,White
Not too much/No,Not too much/No,Yes/Somewhat,College,White
Not too much/No,Yes/Somewhat,Yes/Somewhat,No College,White
Not too much/No,Not too much/No,Not too much/No,College,White
Yes/Somewhat,Yes/Somewhat,Yes/Somewhat,No College,Black
Yes/Somewhat,Yes/Somewhat,Yes/Somewhat,No College,White
Yes/Somewhat,Yes/Somewhat,Not too much/No,No College,Black
Not too much/No,Not too much/No,Not too much/No,College,White
Not too much/No,Not too much/No,Not too much/No,No College,Black
Not too much/No,Not too much/No,Yes/Somewhat,No College,White
Yes/Somewhat,Yes/Somewhat,Not too much/No,No College,White
Not too much/No,Not too much/No,Yes/Somewhat,No College,White
Not too much/No,Yes/Somewhat,Yes/Somewhat,College,White
Not too much/No,Not too much/No,Yes/Somewhat,No College,White
Yes/Somewhat,Yes/Somewhat,Yes/Somewhat,No College,White
Not too much/No,Not too much/No,Yes/Somewhat,No College,White
Yes/Somewhat,Yes/Somewhat,Not too much/No,College,White
Not too much/No,Not too much/No,Not too much/No,No College,White
Not too much/No,Not too much/No,Yes/Somewhat,College,White
Not too much/No,Not too much/No,Not too much/No,No College,White
Yes/Somewhat,Yes/Somewhat,Yes/Somewhat,No College,Black
